plan_time,runway,peaknew,gatenew,distance,NewPushA,NewPushBa,NewPushoutB,append2_res,append1_res
2016/2/5 13:45,34,2,138,34138,7,20,19.57070064,6,12
2016/2/5 13:45,34,2,197,34197,20,37,18.60132029,24,14
2016/2/5 13:50,35,2,124,35124,2,6,19.28304204,4,5
2016/2/5 13:55,35,2,16,3516,2,8,18.68694593,5,6
2016/2/5 13:55,34,2,20,3420,12,23,18.47209528,16,8
2016/2/5 13:55,35,2,136,35136,9,24,19.36449788,9,14
2016/2/5 14:00,34,2,14,3414,15,31,18.48195777,21,13
2016/2/5 14:00,34,2,31,3431,18,37,18.65496559,23,13
2016/2/5 14:00,34,2,229,34229,11,31,19.21481836,17,17
2016/2/5 14:05,35,3,2,352,3,5,17.81396087,3,4
2016/2/5 14:10,35,2,153,35153,3,6,18.65345758,5,4
2016/2/5 14:10,34,2,33,3433,12,26,18.5396862,19,14
2016/2/5 14:15,34,2,207,34207,15,27,18.58371648,20,8
2016/2/5 14:15,34,3,224,34224,5,12,17.67640449,8,9
2016/2/5 14:15,34,2,192,34192,16,33,18.49929011,20,13
2016/2/5 14:20,34,2,79,3479,12,22,18.48195777,15,8
2016/2/5 14:20,34,2,193,34193,12,25,18.58986455,20,13
2016/2/5 14:20,34,2,1,341,17,35,18.4184198,22,14
2016/2/5 14:25,35,3,18,3518,2,8,18.48524988,6,5
2016/2/5 14:25,34,3,111,34111,10,27,18.37506763,18,16
2016/2/5 14:25,34,3,11,3411,11,28,18.37506763,22,17
2016/2/5 14:30,35,3,115,35115,2,8,18.32357143,2,3
2016/2/5 14:30,34,3,34,3434,6,12,17.65830158,11,9
2016/2/5 14:35,34,3,37,3437,11,29,18.35268097,22,17
2016/2/5 14:36,34,2,63,3463,14,30,18.46336439,25,14
2016/2/5 14:40,34,2,165,34165,11,22,18.60701837,17,8
2016/2/5 14:40,34,3,191,34191,11,31,18.37510186,21,18
2016/2/5 14:45,35,1,15,3515,9,18,16.97191101,13,9
2016/2/5 14:45,34,3,171,34171,8,20,18.32051414,13,14
2016/2/5 14:45,34,3,168,34168,13,31,18.37506763,23,19
2016/2/5 14:50,34,2,35,3435,9,14,16.06493656,5,4
2016/2/5 14:50,35,3,195,35195,2,4,18.32051414,5,6
2016/2/5 14:55,34,4,203,34203,6,14,17.49582367,10,9
2016/2/5 14:55,34,3,38,3438,6,11,17.73465665,11,9
2016/2/5 15:00,34,3,55,3455,6,12,17.68966986,13,10
2016/2/5 15:10,34,4,229,34229,5,9,17.05187064,6,6
2016/2/5 15:15,34,4,202,34202,2,9,17.37074592,8,7
2016/2/5 15:15,34,4,235,34235,4,11,17.58799776,5,7
2016/2/5 15:20,34,4,112,34112,6,8,16.83063123,6,3
2016/2/5 15:20,34,2,182,34182,14,23,16.2014571,13,8
2016/2/5 15:30,34,4,206,34206,4,8,17.2032345,6,6
2016/2/5 15:30,34,2,207,34207,14,20,16.18536873,10,6
2016/2/5 15:30,34,2,114,34114,14,20,16.19942987,9,8
2016/2/5 15:30,35,2,205,35205,14,34,16.03480929,24,15
2016/2/5 15:35,34,4,227,34227,4,9,16.74408322,4,3
2016/2/5 15:35,34,4,29,3429,6,10,16.76288525,5,5
2016/2/5 15:35,34,4,36,3436,10,16,16.76288525,7,6
2016/2/5 15:35,34,2,204,34204,15,26,16.07698616,14,10
2016/2/5 15:35,35,2,117,35117,10,26,16.03480929,17,11
2016/2/5 15:40,35,2,215,35215,14,22,16.16915939,11,8
2016/2/5 15:40,35,2,1,351,13,25,16.01899802,14,9
2016/2/5 15:40,35,2,228,35228,11,25,16.09166667,16,12
2016/2/5 15:40,35,2,195,35195,13,30,16.39556434,20,14
2016/2/5 15:45,35,2,122,35122,4,10,16.03806043,5,2
2016/2/5 15:45,35,2,19,3519,18,29,17.55232224,12,11
2016/2/5 15:50,35,2,236,35236,15,28,16.0037037,17,10
2016/2/5 15:50,35,2,234,35234,17,38,16.08475771,24,15
2016/2/5 15:50,35,2,10,3510,13,30,16.65643301,17,16
