plan_time,runway,peaknew,gatenew,NewPushA,NewPushBa,NewPushoutB,append2_res,append1_res,
58800,35,2,0,14,24,17.66783453,9,10,
59100,35,1,0,8,17,15.9975576,11,7,
59100,34,2,193,4,10,16.06098953,8,7,
59100,34,2,152,4,10,16.63287671,5,7,
59400,35,1,79,9,19,16.4328534,12,7,
59400,34,2,19,18,29,17.48556237,12,13,
59700,35,1,2,6,10,15.9975576,6,4,
59700,35,2,151,14,30,17.93014544,9,16,
59700,35,2,146,16,30,17.85803611,7,16,
60000,35,2,161,12,20,17.30585263,9,4,
60000,35,2,170,7,9,15.86234684,7,4,
60000,35,1,235,12,19,16.31926484,11,7,
60000,34,1,182,9,16,16.94292528,11,10,
60300,34,1,112,3,10,16.52360811,6,1,
60300,34,2,168,16,24,17.36140279,9,7,
60300,35,1,138,10,15,16.71566469,14,7,
60300,35,1,121,12,23,16.4328534,16,10,
60300,34,2,223,11,26,17.74797156,11,13,
60600,34,1,232,2,7,17.03806634,5,1,
60600,35,1,229,4,11,16.4328534,10,4,
60600,34,1,228,8,13,16.71566469,13,7,
60600,35,1,231,9,21,16.8902342,14,10,
60900,35,1,202,15,27,16.79879466,20,16,
61200,35,1,18,9,16,16.94292528,10,7,
61200,34,1,221,8,17,16.8309075,9,10,
61500,35,1,115,3,10,16.76571804,5,4,
61500,34,1,14,7,14,16.81167691,12,7,
61500,35,1,113,5,12,16.76571804,8,7,
61500,35,1,171,9,16,16.79879466,15,13,
61800,35,1,9,6,16,16.8902342,11,7,
61800,34,2,24,7,20,17.79710214,6,10,
62100,34,1,116,8,12,16.71566469,11,7,
62400,35,1,120,6,11,16.82198403,6,7,
62400,34,1,224,7,14,16.8309075,7,7,
62400,34,1,27,5,14,16.78336816,8,10,
62400,35,1,169,10,21,16.82198403,12,13,
62700,34,1,209,7,18,16.90495008,8,10,
62700,34,2,10,12,22,17.94511979,10,13,
62700,34,2,193,9,28,17.97574328,8,16,
63000,34,1,236,4,12,16.75074503,7,7,
63000,34,1,226,5,12,16.88248848,6,7,
63000,34,1,35,4,13,16.90495008,7,7,
63000,34,1,122,9,13,16.84335904,10,7,
63300,35,1,38,5,14,16.78336816,8,10,
63600,34,2,33,12,19,17.36140279,6,4,
63600,35,2,195,14,23,17.27982383,8,7,
63600,34,2,142,15,21,17.38967611,9,7,
63900,35,2,136,3,10,17.9953017,6,4,
63900,35,2,222,14,23,17.55232224,7,7,
63900,35,3,79,7,18,15.71305525,0,10,
63900,35,2,13,14,25,17.7192275,10,10,
63900,35,2,234,11,27,17.90278793,7,13,
64200,34,3,221,5,9,16.44910955,4,7,
64200,34,2,149,14,28,17.85803611,7,16,
64200,34,2,36,13,32,17.90278793,10,16,
64500,34,2,220,12,21,17.73306175,8,7,
64500,34,2,192,13,34,17.94410681,10,19,
64800,35,1,147,5,14,17.3599335,0,4,
64800,34,2,191,15,26,17.55232224,9,10,
64800,35,2,158,8,21,17.9007217,7,10,
64800,34,2,212,9,24,17.93014544,7,13,
64800,35,2,152,11,31,18.00825472,7,16,
65100,35,2,237,9,20,17.86611842,5,10,
65100,34,2,194,14,32,17.74797156,12,13,
65100,34,2,22,14,33,17.68687583,11,16,
65400,35,2,235,7,12,17.66514826,5,7,
65400,35,2,228,5,13,17.79710214,5,7,
65400,35,4,161,6,15,16.5452368,3,10,
65400,34,2,37,9,20,17.91234912,6,10,
65400,35,2,232,9,18,17.66514826,8,10,
65700,35,2,2,7,13,17.73422392,5,7,
65700,35,2,171,13,30,17.94613979,10,16,
66000,35,2,204,10,19,17.96919964,8,10,
66000,34,2,199,8,22,17.73730496,4,10,
66000,35,2,138,13,22,17.90958904,10,13,
66300,35,2,1,7,13,17.96919964,6,7,
66300,35,3,121,6,12,17.07150259,4,7,
66300,35,2,18,3,15,17.6980383,3,7,
66600,34,4,169,5,11,16.19051878,1,4,
66600,34,2,61,5,19,17.6980383,3,10,
66600,34,1,184,8,16,16.93519804,1,10,
66600,34,3,182,8,26,17.56749641,6,13,
66600,34,2,112,8,23,17.67510354,7,13,
66900,34,4,31,5,9,15.38992537,0,4,
67200,35,3,19,7,12,16.44259357,5,7,
67500,34,3,231,12,19,16.02258065,1,7,
67500,34,4,224,6,13,16.5400542,3,10,
67800,34,3,203,5,9,16.76623975,5,7,
67800,34,3,28,8,16,16.76623975,7,7,
67800,34,3,202,8,18,17.3560772,5,10,
68100,35,4,36,2,4,15.6137468,1,1,
68100,34,4,190,2,10,16.6607123,1,7,
68400,34,4,236,3,6,16.03221154,1,4,
68400,34,3,207,9,13,16.44877175,4,7,
68400,34,3,75,6,13,16.41322751,5,10,
68700,35,3,226,7,11,16.44259357,4,4,
69000,35,4,225,2,10,16.6607123,1,7,
69300,34,4,178,5,12,16.03221154,1,4,
69300,34,4,2,6,12,16.11280924,1,4,
69300,35,4,79,3,10,16.5452368,3,7,
69600,34,4,111,6,12,15.6166474,1,4,
69600,35,4,170,3,5,16.41771859,0,4,
69600,34,3,152,5,13,15.79792803,1,10,
69900,35,3,113,4,12,15.60300055,0,7,
70200,34,4,168,12,20,16.04364242,1,7,
70800,34,4,116,5,11,15.6166474,1,4,
70800,35,4,220,5,8,15.55191463,1,4,
71100,34,4,37,6,11,16.19833958,1,4,
71100,35,1,146,8,20,17.08496448,1,13,
71400,34,4,33,6,11,15.98414634,1,4,
71400,35,3,24,5,14,17.95393548,0,7,
71400,34,3,22,9,16,17.1299787,1,7,
71700,35,4,229,4,8,16.24153675,0,4,
71700,34,4,146,10,16,16.0422409,0,4,
71700,35,4,136,13,22,16.24153675,1,7,
72000,34,3,235,9,15,16.13056346,1,4,
72300,34,4,30,13,20,16.11258465,1,7,
72300,34,3,193,6,13,16.37466475,1,7,
72300,34,3,13,11,21,15.84790647,1,13,
72600,35,3,138,11,19,16.0102636,1,10,
72600,34,3,198,8,19,15.60300055,0,13,
72900,35,3,202,9,16,15.7932335,1,7,
72900,34,3,222,7,14,16.19188641,1,7,
73200,35,3,1,4,12,15.72764579,1,7,
73200,35,3,204,8,15,16.19188641,1,7,
73200,34,3,17,9,18,15.80460022,1,10,
73500,34,3,192,3,9,16.66433991,0,4,
73500,35,4,233,9,23,17.7163067,0,10,
73500,35,3,205,8,19,15.84919528,1,10,
73800,34,3,11,11,20,16.5786613,0,10,
74100,34,3,207,6,11,16.0964231,1,7,
74100,35,3,218,7,12,16.0964231,1,7,
74100,35,3,232,18,28,17.22730733,1,13,
74400,34,3,168,2,7,17.64912109,1,4,
74400,35,3,206,6,13,16.37466475,1,7,
74400,34,3,236,7,13,16.27703631,1,7,
74700,35,3,190,10,17,16.74490446,0,7,
74700,34,3,112,6,12,16.35519575,1,7,
74700,34,4,30,10,17,16.92123421,0,7,
74700,35,1,185,12,29,17.023625,1,13,
75000,35,3,233,13,17,17.15949679,1,7,
75000,34,3,191,9,17,16.60729529,0,7,
75300,35,1,237,14,30,17.3599335,0,13,
75600,35,3,118,3,5,16.8591505,0,1,
75600,35,3,114,7,12,16.87069694,0,4,
75600,35,1,120,4,12,17.2895128,0,7,
75600,35,4,191,7,21,17.85590174,0,10,
75600,34,3,54,16,28,16.58698285,1,13,
75600,35,3,152,9,24,17.90192982,1,13,
75900,35,3,115,9,15,17.33863428,1,4,
75900,34,1,9,5,18,16.85632437,1,7,
75900,34,1,15,9,23,17.25591837,0,10,
75900,34,3,149,15,23,17.33863428,1,10,
76200,34,1,203,9,17,17.42061766,1,4,
76200,34,1,208,5,17,16.85632437,0,7,
76200,34,3,151,11,16,17.26719039,1,7,
76200,35,1,226,13,23,17.38740554,1,10,
76200,34,1,16,19,33,17.30819964,1,16,
76200,35,1,161,14,31,17.3599335,1,16,
76500,35,4,195,6,11,16.96171171,0,4,
76500,35,1,119,9,24,17.25591837,0,10,
76500,35,1,116,11,24,16.72880204,1,13,
76500,34,1,14,10,27,16.93519804,1,16,
76800,34,3,79,9,14,16.9381295,0,7,
76800,34,1,26,9,28,16.85632437,1,13,
76800,35,1,227,11,30,16.85632437,1,13,
76800,35,1,38,11,26,17.03431877,1,13,
77100,35,4,121,12,20,17.14233045,0,7,
77100,35,4,154,10,18,17.32716638,0,10,
77700,35,1,117,8,17,17.07161187,1,10,
77700,35,3,0,10,24,17.9251153,1,13,
78000,35,4,25,6,13,17.25072115,0,7,
78000,35,3,12,6,17,17.57081228,0,10,
78000,35,3,1,8,21,17.9251153,1,13,
78300,34,3,2,3,9,17.89544409,0,7,
78300,34,4,192,6,16,17.9285347,0,7,
78600,35,4,37,6,14,17.29866264,0,7,
78600,35,4,38,10,18,17.21066541,0,10,
78600,35,3,47,8,23,17.57081228,1,13,
78900,34,4,230,5,10,17.1248279,0,4,
79200,35,4,199,6,7,19.79218638,5,4,
79200,34,3,55,8,11,16.91845673,0,4,
