plantime,runway,airline,destination,REG,peak,gate,cat,distance,meantime_taxi_number,mean_taxi_time,land_takeoff_number,time
2016/5/6 13:10,34,26,159,671,9,1,8,341,24,18.04774624,6,15
2016/5/6 13:10,34,26,71,2132,9,140,13,34140,22,18.23723958,12,14.2
2016/5/6 13:10,35,26,196,2780,9,201,8,35201,13,18.07755102,13,7.6
2016/5/6 13:15,34,39,234,568,9,136,8,34136,27,19.14106792,12,19.9
2016/5/6 13:15,34,39,241,1968,9,161,9,34161,15,19.36474536,13,13.6
2016/5/6 13:15,34,39,240,2255,9,112,9,34112,12,17.32339468,19,8.8
2016/5/6 13:20,34,12,60,3606,9,224,24,34224,37,18.32114198,18,26.4
2016/5/6 13:20,35,91,9,4127,9,212,15,35212,29,19.36449788,20,20.2
2016/5/6 13:20,34,30,20,1813,9,225,12,34225,30,18.71856311,14,18.4
2016/5/6 13:20,35,26,165,848,9,20,25,3520,19,19.19009434,25,16
2016/5/6 13:25,34,26,100,2419,9,34,9,3434,30,18.59064643,25,25.3
2016/5/6 13:25,34,46,60,2483,9,222,8,34222,34,18.84359177,30,24.1
2016/5/6 13:30,34,26,1,1789,9,10,12,3410,37,19.28745562,20,26.4
2016/5/6 13:30,35,39,224,2254,9,121,8,35121,26,19.23645914,24,21.1
2016/5/6 13:35,34,72,76,3470,9,31,13,3431,23,19.40970874,16,17
2016/5/6 13:35,35,26,172,456,9,12,8,3512,17,19.07086915,13,14
2016/5/6 13:40,34,26,80,722,9,35,9,3435,12,17.49582367,10,11.1
2016/5/6 13:45,35,34,106,2812,9,206,8,35206,24,18.59064643,19,18.7
2016/5/6 13:50,34,34,100,2765,9,182,8,34182,26,18.68694593,18,19.6
2016/5/6 13:50,34,46,235,2400,9,227,8,34227,21,18.65496559,12,14.8
2016/5/6 13:55,34,46,44,2627,9,220,8,34220,23,19.48282098,13,17.5
2016/5/6 13:55,35,46,216,2017,9,160,8,35160,21,18.7429059,18,14.4
2016/5/6 14:00,35,26,205,756,9,170,8,35170,13,18.65345758,9,10.8
2016/5/6 14:05,34,39,235,2231,9,152,8,34152,22,18.4512301,13,18
2016/5/6 14:05,34,46,241,2430,9,237,8,34237,17,18.32357143,23,14
2016/5/6 14:05,34,69,48,3636,9,37,40,3437,16,18.54471313,16,12.6
2016/5/6 14:10,34,26,240,2161,9,79,8,3479,20,18.54471313,18,15.7
2016/5/6 14:10,34,38,75,1730,9,18,25,3418,20,18.7429059,10,13.1
2016/5/6 14:10,34,39,47,2767,9,210,8,34210,13,18.32051414,12,12.9
2016/5/6 14:10,35,26,181,2045,9,38,8,3538,4,18.62355471,14,8
2016/5/6 14:15,34,22,48,1777,9,197,12,34197,19,18.37336778,24,17.8
2016/5/6 14:15,34,13,32,4541,9,200,50,34200,9,18.54985437,4,11.9
2016/5/6 14:15,34,39,50,2205,9,185,8,34185,7,17.2032345,16,9
2016/5/6 14:20,34,38,241,1044,9,195,24,34195,29,18.35268097,25,24.5
2016/5/6 14:20,35,26,228,2022,9,24,8,3524,8,18.46336439,8,7.6
2016/5/6 14:25,35,26,127,2013,9,40,9,3540,9,18.39517524,7,9
2016/5/6 14:30,34,26,56,2084,9,39,7,3439,17,18.38542914,5,17.2
2016/5/6 14:30,35,30,198,1608,10,189,25,35189,18,16.38646154,15,16.5
2016/5/6 14:30,35,38,106,1361,9,115,25,35115,10,17.05187064,16,14.9
2016/5/6 14:30,35,93,122,163,9,199,48,35199,12,18.48524988,9,14.4
2016/5/6 14:30,34,31,18,905,4,78,46,3478,14,18.70782014,12,11.3
2016/5/6 14:30,34,65,100,2875,9,215,9,34215,8,18.35268097,20,10
2016/5/6 14:35,34,34,52,798,9,191,8,34191,16,18.69607177,19,15.4
2016/5/6 14:35,34,39,161,729,9,151,9,34151,19,16.41176749,11,12
2016/5/6 14:40,34,26,233,2109,9,19,7,3419,24,16.17030335,15,23
2016/5/6 14:40,34,34,240,2457,9,108,8,34108,18,17.50546697,16,19.6
2016/5/6 14:50,34,38,76,603,9,33,25,3433,16,18.24152977,18,16.1
2016/5/6 14:55,34,26,214,755,9,111,8,34111,18,17.04303483,20,19.1
2016/5/6 14:55,34,34,44,2488,9,168,8,34168,16,17.77473176,9,16.1
2016/5/6 14:55,34,46,80,2469,9,229,8,34229,6,18.45894843,13,7.6
2016/5/6 15:00,35,22,171,2445,9,233,8,35233,16,17.18568521,13,16.2
2016/5/6 15:00,34,20,18,918,4,64,47,3464,11,17.77473176,16,13.3
2016/5/6 15:00,35,30,198,806,10,67,25,3567,12,16.30887939,3,7.7
2016/5/6 15:05,34,26,242,2277,9,0,8,340,21,16.41923274,22,20.4
2016/5/6 15:05,34,46,241,771,9,235,8,34235,13,16.38298526,14,12.6
2016/5/6 15:10,34,34,241,797,9,204,8,34204,27,16.31926484,15,17.9
2016/5/6 15:15,34,39,240,1965,9,152,9,34152,18,16.24611708,11,13.9
2016/5/6 15:20,35,39,184,1985,9,121,8,35121,33,16.63287671,15,23.1
2016/5/6 15:20,34,82,48,3613,4,70,35,3470,16,16.38298526,22,15.3
2016/5/6 15:25,34,65,100,2867,9,171,8,34171,9,16.25039039,10,9.7
2016/5/6 15:25,34,79,120,34,9,223,13,34223,7,16.16915939,8,9
2016/5/6 15:30,35,30,216,637,9,236,25,35236,15,16.83063123,14,15.8
2016/5/6 15:30,35,34,149,1998,9,113,8,35113,13,17.27982383,8,8.6
2016/5/6 15:35,34,90,118,4321,9,37,8,3437,17,16.03078725,10,17.9
2016/5/6 15:35,34,38,50,1257,9,45,25,3445,15,16.2,5,15.1
2016/5/6 15:35,35,38,156,1249,9,135,25,35135,12,16.18096374,9,8.8
2016/5/6 15:35,35,26,165,1485,9,20,25,3520,7,16.18536873,15,8.5
2016/5/6 15:40,35,37,224,687,9,138,8,35138,20,17.19413735,19,14.1
2016/5/6 15:40,35,26,162,2223,9,114,9,35114,16,17.94511979,12,9.7
2016/5/6 15:45,34,38,160,1421,9,16,25,3416,33,17.73306175,10,24.9
2016/5/6 15:45,35,30,133,1493,9,230,25,35230,9,16.0037037,19,11.5
2016/5/6 15:50,34,26,47,1781,9,11,12,3411,31,16.4328534,18,20.6
2016/5/6 15:50,35,46,176,2296,9,188,8,35188,16,16.03078725,10,16.7
2016/5/6 15:50,35,26,200,2041,9,2,8,352,23,15.80658144,8,10.5
2016/5/6 15:55,34,3,1,3062,9,199,49,34199,30,16.52360811,16,22.1
2016/5/6 15:55,34,39,241,2338,9,152,8,34152,22,16.65643301,21,19
2016/5/6 15:55,34,105,19,3802,9,190,33,34190,27,16.60877828,16,18.2
2016/5/6 16:00,34,52,47,536,9,193,48,34193,19,16.04532751,13,16.7
2016/5/6 16:00,35,26,218,2664,9,170,7,35170,13,16.65643301,11,12.3
2016/5/6 16:00,34,86,81,4285,9,168,9,34168,18,16.18096374,8,11.8
2016/5/6 16:05,34,0,19,4026,9,169,42,34169,18,16.38646154,19,18.3
2016/5/6 16:05,34,26,240,2104,9,120,7,34120,26,15.86234684,15,16.1
2016/5/6 16:10,34,22,233,2418,9,232,8,34232,20,17.00087371,13,16.7
2016/5/6 16:10,34,46,50,765,9,226,8,34226,18,16.27631923,15,15.3
2016/5/6 16:10,35,38,146,1879,9,41,25,3541,18,16.69958753,11,13.2
2016/5/6 16:10,35,26,219,2222,9,10,9,3510,19,16.88248848,16,12.5
2016/5/6 16:15,34,26,190,2670,9,201,9,34201,30,15.86658824,17,19.8
2016/5/6 16:15,35,46,177,2595,9,212,9,35212,30,15.80028504,8,15.3
2016/5/6 16:15,35,26,229,2472,9,9,8,359,11,16.82265101,14,9.7
2016/5/6 16:20,34,26,43,1874,9,43,12,3443,40,16.30887939,13,23.5
2016/5/6 16:20,34,1,76,3313,9,194,33,34194,27,15.80658144,19,13.1
2016/5/6 16:30,34,26,100,2313,9,33,9,3433,46,15.9975576,17,34.8
2016/5/6 16:30,34,65,100,2827,9,216,13,34216,27,16.01438451,33,18.4
2016/5/6 16:30,35,38,171,1067,9,195,25,35195,11,17.7192275,8,10
2016/5/6 16:35,34,34,233,2431,9,207,8,34207,19,16.94312692,17,16.8
2016/5/6 16:40,34,10,102,3025,9,168,9,34168,34,17.79710214,32,27.9
2016/5/6 16:40,35,22,224,709,9,184,9,35184,30,16.31926484,17,19.1
2016/5/6 16:40,35,22,127,1861,9,230,12,35230,13,17.61883562,15,13.1
2016/5/6 16:45,35,39,165,1234,9,136,25,35136,33,17.97574328,15,21.8
2016/5/6 16:45,35,42,141,1286,9,16,25,3516,11,17.15598802,9,15.1
